亜|ア|sub-
沸|フツ、わ-く、わ-かす|seethe
仏|ブツ、ほとけ|Buddha
物|ブツ、モツ、もの|thing
粉|フン、こ、こな|flour
紛|フン、まぎ-れる、まぎ-らす、まぎ-らわす、まぎ-らわしい|distract
雰|フン|atmosphere
噴|フン、ふ-く|erupt
墳|フン|tomb
憤|フン、いきどお-る|aroused
奮|フン、ふる-う|stirred up
分|ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ|part, minute of time
文|ブン、モン、ふみ|writing
聞|ブン、モン、き-く、き-こえる|hear
丙|ヘイ|third class
平|ヘイ、ビョウ、たい-ら、ひら|flat
兵|ヘイ、ヒョウ|soldier
併|ヘイ、あわ-せる|join
並|ヘイ、なみ、なら-べる、なら-ぶ、なら-びに|line-up
柄|ヘイ、がら、え|design
陛|ヘイ|highness
閉|ヘイ、と-じる、と-ざす、し-める、し-まる|closed
塀|ヘイ|fence
幣|ヘイ|cash
弊|ヘイ|abuse
蔽|ヘイ|cover
餅|ヘイ、もち|mochi rice cake
米|ベイ、マイ、こめ|rice
壁|ヘキ、かべ|wall
璧|ヘキ|sphere
癖|ヘキ、くせ|mannerism
別|ベツ、わか-れる|separate
蔑|ベツ、さげす-む|ignore
片|ヘン、かた|one-sided
辺|ヘン、あた-り、べ|environs
返|ヘン、かえ-す、かえ-る|return
変|ヘン、か-わる、か-える|change
偏|ヘン、かたよ-る|partial
遍|ヘン|everywhere
編|ヘン、あ-む|compile
弁|undefined|undefined
辛|undefined|undefined
5|undefined|undefined
便|ベン、ビン、たよ-り|convenience
勉|ベン|exertion
歩|ホ、ブ、（フ）、ある-く、あゆ-む|walk
保|ホ、たも-つ|preserve
哺|ホ|suckle
捕|ホ、と-らえる、と-らわれる、と-る、つか-まえる、つか-まる|catch
補|ホ、おぎな-う|supplement
舗|ホ|pavement
母|ボ、はは|mother
募|ボ、つの-る|recruit
墓|ボ、はか|grave
慕|ボ、した-う|pining
暮|ボ、く-れる、く-らす|livelihood
簿|ボ|register
方|ホウ、かた|direction
包|ホウ、つつ-む|wrap
芳|ホウ、かんば-しい|perfume
邦|ホウ|home country
奉|ホウ、（ブ）、たてまつ-る|observance
宝|ホウ、たから|treasure
抱|ホウ、だ-く、いだ-く、かか-える|embrace
放|ホウ、はな-す、はな-つ、はな-れる、ほう-る|release
法|ホウ、（ハッ）、（ホッ）|method
泡|ホウ、あわ|bubbles
胞|ホウ|placenta
俸|ホウ|salary
倣|ホウ、なら-う|emulate
峰|ホウ、みね|summit
砲|ホウ|cannon
崩|ホウ、くず-れる、くず-す|crumble
訪|ホウ、おとず-れる、たず-ねる|visit
報|ホウ、むく-いる|report
蜂|ホウ、はち|bee
豊|ホウ、ゆた-か|bountiful
飽|ホウ、あ-きる、あ-かす|sated
褒|ホウ、ほ-める|praise
縫|ホウ、ぬ-う|sew
亡|ボウ、（モウ）、な-い|deceased
乏|ボウ、とぼ-しい|scarce
忙|ボウ、いそが-しい|busy
坊|ボウ、（ボッ）|boy
妨|ボウ、さまた-げる|disturb
忘|ボウ、わす-れる|forget
防|ボウ、ふせ-ぐ|prevent
房|ボウ、ふさ|tassel
肪|ボウ|obese
某|ボウ|so-and-so
冒|ボウ、おか-す|risk
剖|ボウ|divide
紡|ボウ、つむ-ぐ|spinning
望|ボウ、モウ、のぞ-む|hope
傍|ボウ、かたわ-ら|bystander
帽|ボウ|cap
棒|ボウ|rod
貿|ボウ|trade
貌|ボウ|appearance
暴|ボウ、（バク）、あば-く、あば-れる|outburst
膨|ボウ、ふく-らむ、ふく-れる|swell
謀|ボウ、（ム）、はか-る|conspire
頰|ほお|cheek
北|ホク、きた|north
木|ボク、モク、き、（こ）|tree
朴|ボク|crude
牧|ボク、まき|breed
睦|ボク|harmonious
僕|ボク|me
墨|ボク、すみ|black ink
撲|ボク|slap
没|ボツ|drown
勃|ボツ|rise
堀|ほり|ditch
本|ホン、もと|book
奔|ホン|bustle
翻|ホン、ひるがえ-る、ひるがえ-す|flip
凡|ボン、（ハン）|mediocre
盆|ボン|basin
麻|マ、あさ|hemp
摩|マ|chafe
磨|マ、みが-く|grind
魔|マ|witch
毎|マイ|every
妹|マイ、いもうと|younger sister
枚|マイ|sheet of...
昧|マイ|foolish
埋|マイ、う-める、う-まる、う-もれる|bury
幕|マク、バク|curtain
膜|マク|membrane
枕|まくら|pillow
又|また|or again
末|マツ、バツ、すえ|end
抹|マツ|rub
万|マン、バン|ten thousand
満|マン、み-ちる、み-たす|full
慢|マン|ridicule
漫|マン|cartoon
未|ミ|not yet
味|ミ、あじ、あじ-わう|flavor
魅|ミ|fascination
岬|みさき|headland
密|ミツ|secrecy
蜜|ミツ|honey
脈|ミャク|vein
妙|ミョウ|exquisite
民|ミン、たみ|people
眠|ミン、ねむ-る、ねむ-い|sleep
矛|ム、ほこ|halberd
務|ム、つと-める、つと-まる|duty
無|ム、ブ、な-い|nothing
夢|ム、ゆめ|dream
霧|ム、きり|fog
娘|むすめ|daughter
名|メイ、ミョウ、な|name
命|メイ、ミョウ、いのち|fate
明|メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす|bright
迷|メイ、まよ-う|astray
冥|メイ、ミョウ|dark
盟|メイ|alliance
銘|メイ|inscription
鳴|メイ、な-く、な-る、な-らす|chirp
滅|メツ、ほろ-びる、ほろ-ぼす|destroy
免|メン、まぬか-れる|excuse
面|メン、おも、おもて、つら|face
綿|メン、わた|cotton
麺|メン|noodles
茂|モ、しげ-る|overgrown
模|モ、ボ|imitation
毛|モウ、け|hair
妄|モウ、ボウ|delusion
盲|モウ|blind
耗|モウ、（コウ）|decrease
猛|モウ|fierce
網|モウ、あみ|netting
目|モク、（ボク）、め、（ま）|eye
黙|モク、だま-る|silence
門|モン、かど|gates
紋|モン|family crest
問|モン、と-う、と-い、（とん）|question
冶|ヤ|melting
夜|ヤ、よ、よる|night
野|ヤ、の|field
弥|や|all the more
厄|ヤク|unlucky
役|ヤク、エキ|service
約|ヤク|promise
訳|ヤク、わけ|translate
薬|ヤク、くすり|medicine
躍|ヤク、おど-る|leap
闇|やみ|darkness
由|ユ、ユウ、（ユイ）、よし|reason
油|ユ、あぶら|oil
喩|ユ|metaphor
愉|ユ|pleasure
諭|ユ、さと-す|rebuke
輸|ユ|transport
癒|ユ、い-える、い-やす|healing
唯|ユイ、（イ）|solely
友|ユウ、とも|friend
有|ユウ、ウ、あ-る|have
勇|ユウ、いさ-む|courage
幽|ユウ|seclude
悠|ユウ|permanence
郵|ユウ|mail
湧|ユウ、わ-く|boil
猶|ユウ|furthermore
裕|ユウ|abundant
遊|ユウ、（ユ）、あそ-ぶ|play
雄|ユウ、お、おす|male
誘|ユウ、さそ-う|entice
憂|ユウ、うれ-える、うれ-い、う-い|melancholy
融|ユウ|dissolve
優|ユウ、やさ-しい、すぐ-れる|superior
与|ヨ、あた-える|give
予|ヨ|in advance
余|ヨ、あま-る、あま-す|leave over
誉|ヨ、ほま-れ|reputation
預|ヨ、あず-ける、あず-かる|deposit
幼|ヨウ、おさな-い|infancy
用|ヨウ、もち-いる|use
羊|ヨウ、ひつじ|sheep
妖|ヨウ、あや-しい|bewitching
洋|ヨウ|ocean
要|ヨウ、かなめ、い-る|need
容|ヨウ|contain
庸|ヨウ|commonplace
揚|ヨウ、あ-げる、あ-がる|hoist
揺|ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる|swing
葉|ヨウ、は|leaf
陽|ヨウ|sunshine
溶|ヨウ、と-ける、と-かす、と-く|melt
腰|ヨウ、こし|loins
様|ヨウ、さま|formal title
瘍|ヨウ|boil (medical)
踊|ヨウ、おど-る、おど-り|jump
窯|ヨウ、かま|kiln
養|ヨウ、やしな-う|foster
擁|ヨウ|embrace
謡|ヨウ、うたい、うた-う|noh chanting
曜|ヨウ|day of the week
抑|ヨク、おさ-える|repress
沃|ヨク|fertility
浴|ヨク、あ-びる、あ-びせる|bathe
欲|ヨク、ほっ-する、ほ-しい|longing
翌|ヨク|the following
翼|ヨク、つばさ|wing
拉|ラ|crush
裸|ラ、はだか|naked
羅|ラ|gauze
来|ライ、く-る、きた-る、きた-す|come
雷|ライ、かみなり|thunder
頼|ライ、たの-む、たの-もしい、たよ-る|trust
絡|ラク、から-む、から-まる、から-める|entwine
落|ラク、お-ちる、お-とす|fall
酪|ラク|dairy products
辣|ラツ|bitter
乱|ラン、みだ-れる、みだ-す|riot
卵|ラン、たまご|egg
覧|ラン|perusal
濫|ラン|excessive
藍|ラン、あい|indigo
欄|ラン|column
吏|リ|officer
利|リ、き-く|profit
里|リ、さと|village
理|リ|reason
痢|リ|diarrhea
裏|リ、うら|back
履|リ、は-く|footgear
璃|リ|glassy
離|リ、はな-れる、はな-す|detach
陸|リク|land
立|リツ、（リュウ）、た-つ、た-てる|stand up
律|リツ、（リチ）|law
慄|リツ|fear
略|リャク|abbreviation
柳|リュウ、やなぎ|willow
流|リュウ、（ル）、なが-れる、なが-す|stream
留|リュウ、（ル）、と-める、と-まる|detain
竜|リュウ、たつ|dragon
粒|リュウ、つぶ|grains
隆|リュウ|hump
硫|リュウ|sulphur
侶|リョ|companion
旅|リョ、たび|trip
虜|リョ|captive
慮|リョ|prudence
了|リョウ|finish
両|リョウ|both
良|リョウ、よ-い|good
料|リョウ|fee
涼|リョウ、すず-しい、すず-む|refreshing
猟|リョウ|game-hunting
陵|リョウ、みささぎ|mausoleum
量|リョウ、はか-る|quantity
僚|リョウ|colleague
領|リョウ|territory
寮|リョウ|dormitory
療|リョウ|heal
瞭|リョウ|clear
糧|リョウ、（ロウ）、かて|provisions
力|リョク、リキ、ちから|power
緑|リョク、（ロク）、みどり|green
林|リン、はやし|woods
厘|リン|thousandth
倫|リン|ethics
輪|リン、わ|wheel
隣|リン、とな-る、となり|neighboring
臨|リン、のぞ-む|look to
瑠|ル|lapis lazuli
涙|ルイ、なみだ|tears
累|ルイ|accumulate
塁|ルイ|bases
類|ルイ、たぐ-い|sort
令|レイ|orders
礼|レイ、ライ|thanks
冷|レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます|cool
励|レイ、はげ-む、はげ-ます|encourage
戻|レイ、もど-す、もど-る|re-
例|レイ、たと-える|example
鈴|レイ、リン、すず|small bell
零|レイ|zero
霊|レイ、リョウ、たま|spirits
隷|レイ|slave
齢|レイ|age
麗|レイ、うるわ-しい|lovely
暦|レキ、こよみ|calendar
歴|レキ|curriculum
列|レツ|row
劣|レツ、おと-る|inferiority
烈|レツ|ardent
裂|レツ、さ-く、さ-ける|split
恋|レン、こ-う、こい、こい-しい|romance
連|レン、つら-なる、つら-ねる、つ-れる|take along
廉|レン|bargain
練|レン、ね-る|practice
錬|レン|tempering
呂|ロ|spine
炉|ロ|hearth
賂|ロ|bribe
路|ロ、じ|road
露|ロ、（ロウ）、つゆ|dew
老|ロウ、お-いる、ふ-ける|old man
労|ロウ|labour
弄|ロウ、もてあそ-ぶ|tamper with
郎|ロウ|son
朗|ロウ、ほが-らか|melodious
浪|ロウ|wandering
廊|ロウ|corridor
楼|ロウ|watchtower
漏|ロウ、も-る、も-れる、も-らす|leak
籠|ロウ、かご、こ-もる|basket
六|ロク、む、む-つ、むっ-つ、（むい）|six
録|ロク|record
麓|ロク、ふもと|foot of a mountain
論|ロン|theory
和|ワ、（オ）、やわ-らぐ、やわ-らげる、なご-む、なご-やか|peace
話|ワ、はな-す、はなし|talk
賄|ワイ、まかな-う|bribe
脇|わき|aside
惑|ワク、まど-う|beguile
枠|わく|frame
湾|ワン|gulf
腕|ワン、うで|arm
