亜|ア|sub-
機|キ、はた|machine
騎|キ|equestrian
技|ギ、わざ|skill
宜|ギ|best regards
偽|ギ、いつわ-る、にせ|falsehood
欺|ギ、あざむ-く|deceit
義|ギ|righteousness
疑|ギ、うたが-う|doubt
儀|ギ|ceremony
戯|ギ、たわむ-れる|frolic
擬|ギ|mimic
犠|ギ|sacrifice
議|ギ|deliberation
菊|キク|chrysanthemum
吉|キチ、キツ|good luck
喫|キツ|consume
詰|キツ、つ-める、つ-まる、つ-む|packed
却|キャク|instead
客|キャク、カク|guest
脚|キャク、（キャ）、あし|leg
逆|ギャク、さか、さか-らう|inverted
虐|ギャク、しいた-げる|tyrannize
九|キュウ、ク、ここの、ここの-つ|nine
久|キュウ、（ク）、ひさ-しい|long time
及|キュウ、およ-ぶ、およ-び、およ-ぼす|reach out
弓|キュウ、ゆみ|bow (archery, violin)
丘|キュウ、おか|hill
旧|キュウ|old times
休|キュウ、やす-む、やす-まる、やす-める|rest
吸|キュウ、す-う|suck
朽|キュウ、く-ちる|decay
臼|キュウ、うす|mortar
求|キュウ、もと-める|request
究|キュウ、きわ-める|research
泣|キュウ、な-く|cry
急|キュウ、いそ-ぐ|hurry
級|キュウ|rank
糾|キュウ|twist
宮|キュウ、グウ、（ク）、みや|Shinto shrine
救|キュウ、すく-う|salvation
球|キュウ、たま|sphere
給|キュウ|salary
嗅|キュウ、か-ぐ|smell
窮|キュウ、きわ-める、きわ-まる|hard up
牛|ギュウ、うし|cow
去|キョ、コ、さ-る|leave
巨|キョ|gigantic
居|キョ、い-る|reside
拒|キョ、こば-む|repel
拠|キョ、コ|foothold
挙|キョ、あ-げる、あ-がる|raise
虚|キョ、（コ）|void
許|キョ、ゆる-す|permit
距|キョ|long-distance
魚|ギョ、うお、さかな|fish
御|ギョ、ゴ、おん|honorable
漁|ギョ、リョウ|fishing
凶|キョウ|villain
共|キョウ、とも|together
叫|キョウ、さけ-ぶ|shout
狂|キョウ、くる-う、くる-おしい|lunatic
京|キョウ、ケイ|capital
享|キョウ|receive
供|キョウ、（ク）、そな-える、とも|offer
協|キョウ|cooperation
況|キョウ|condition
峡|キョウ|gorge
挟|キョウ、はさ-む、はさ-まる|pinch
狭|キョウ、せま-い、せば-める、せば-まる|cramped
恐|キョウ、おそ-れる、おそ-ろしい|fear
恭|キョウ、うやうや-しい|respect
胸|キョウ、むね、（むな）|bosom
脅|キョウ、おびや-かす、おど-す、おど-かす|threaten
強|キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる|strong
教|キョウ、おし-える、おそ-わる|teach
郷|キョウ、ゴウ|home town
境|キョウ、（ケイ）、さかい|boundary
橋|キョウ、はし|bridge
矯|キョウ、た-める|rectify
鏡|キョウ、かがみ|mirror
競|キョウ、ケイ、きそ-う、せ-る|compete
響|キョウ、ひび-く|echo
驚|キョウ、おどろ-く、おどろ-かす|wonder
仰|ギョウ、（コウ）、あお-ぐ、おお-せ|face-up
暁|ギョウ、あかつき|daybreak
業|ギョウ、ゴウ、わざ|business
凝|ギョウ、こ-る、こ-らす|congeal
曲|キョク、ま-がる、ま-げる|musical composition
局|キョク|office
極|キョク、ゴク、きわ-める、きわ-まる、きわ-み|poles
玉|ギョク、たま|ball
巾|キン|towel
斤|キン|axe
均|キン|level
